"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"New York","New York","NY","New York","36081","Queens","40.6943","-73.9249","19268388","10902.2","shape","FALSE","TRUE","America/New_York","1","11232 10110 10173 10169 10474 10007 10309 11363 10302 10472 10177 11109 10039 10044 11004 11005 10165 10171 11451 11420 10167 10006 10030 10111 10112 10119 10168 10172 10279 10469 11359 11419 11424 11692 10020 10311 10170 10005 10458 10154 10103 10454 10032 10278 10152 10162 11412 10307 11236 11214 10310 11220 11217 10115 11414 11423 11239 10455 11355 10002 10018 11238 11374 11358 11429 10459 11208 10023 10464 11235 11379 11230 10033 10282 11426 10475 10022 10174 11207 10465 11368 10461 10065 10306 11228 10025 10027 11367 10069 11001 11439 10038 10019 11219 10013 11213 11432 11428 10034 10460 11249 10029 11104 10468 10016 10453 11221 11366 11436 11430 11375 10026 10457 11422 11215 10014 10305 10312 10001 10003 10011 10017 10021 10024 10028 10035 10036 10037 10040 10199 10301 10303 10314 10451 10452 10456 11102 11106 11201 11205 11206 11209 11212 10462 10463 10467 10470 11218 11222 11226 11231 11233 11237 11354 11356 11362 11364 11365 11369 11372 11377 11378 11385 11413 11416 11417 11418 11694 11697 11427 11433 11357 11223 10471 10004 10280 11234 11203 11434 10009 11361 10308 10128 11691 11216 10031 10304 11435 10271 11224 11225 10075 11204 11371 10466 10473 11360 11421 11415 11211 11103 11210 11105 10010 10153 11229 11370 11693 11101 11373 11411 10012 10008 10101 10104 10106 10107 10108 10113 10116 10118 10129 10150 10151 10156 10159 10163 10175 10176 10178 10185 10268 10272 10274 10276 10313 11202 11247 11352 11380 11386 11431 11690 10043 10081 10087 10102 10109 10114 10117 10124 10125 10126 10130 10131 10132 10133 10138 10157 10160 10164 10179 10203 10211 10212 10213 10256 10258 10259 10261 10269 10273 10275 10277 10285 10286 11245 11251 11120 11405 11425 11437 11499 10041 10055 10060 10090 10105 10120 10121 10122 10123 10155 10158 10166 10242 10249 10260 10265 10270 10281 11241 11242 11243 11252 11256 11351 11695","1840034016"
"Los Angeles","Los Angeles","CA","California","06037","Los Angeles","34.1141","-118.4068","11984083","3165.2","shape","FALSE","TRUE","America/Los_Angeles","1","90292 90048 90021 90013 91324 90071 91356 90017 90006 90014 91342 90077 91371 91608 91345 90032 90732 90049 91306 90015 91403 90008 90063 90002 91040 91607 90247 90039 90064 90068 91343 90293 90062 91330 90291 90024 91401 90004 91303 90020 90079 90007 90065 90011 90012 90016 90018 91042 90010 91335 91340 90034 90036 90037 90023 90025 91307 90041 91311 90042 90043 90027 90029 90031 91325 91326 91331 90045 91352 90046 91344 90057 90059 91402 90069 90089 90094 90095 91364 90061 91601 91602 91606 91406 91436 90248 91504 90501 90502 90710 91605 90066 90028 91367 90210 90038 90058 90052 90019 90001 90003 90033 91304 91316 90044 90067 91405 90047 91604 90005 90035 90402 90272 90744 90026 90731 90230 91411 91423 90009 90030 90050 90051 90053 90054 90055 90060 90070 90072 90075 90076 90078 90080 90081 90082 90083 90086 90087 90093 90213 90294 90295 90733 90734 90748 91041 91043 91305 91308 91309 91313 91327 91328 91333 91334 91337 91346 91353 91357 91365 91392 91393 91394 91395 91396 91404 91407 91408 91409 91410 91412 91413 91416 91426 91603 91609 91610 91614 91615 91616 91617 91470 91482 91499 90074 90084 90088 90099 90189 90085 91618","1840020491"
"Chicago","Chicago","IL","Illinois","17031","Cook","41.8375","-87.6866","8609571","4596.4","shape","FALSE","TRUE","America/Chicago","1","60617 60619 60606 60604 60602 60603 60654 60660 60623 60636 60620 60610 60644 60106 60659 60616 60637 60629 60651 60622 60639 60655 60615 60652 60625 60656 60018 60607 60608 60609 60611 60612 60613 60614 60618 60624 60626 60632 60630 60642 60640 60649 60653 60646 60647 60661 60707 60827 60631 60628 60605 60621 60601 60634 60645 60657 60643 60633 60638 60641 60499 60664 60666 60680 60690 60668 60669 60670 60673 60674 60675 60677 60678 60684 60685 60686 60687 60688 60689 60694 60695 60696 60681 60699","1840000494"
"Miami","Miami","FL","Florida","12086","Miami-Dade","25.7840","-80.2101","6391670","4931.4","shape","FALSE","TRUE","America/New_York","1","33109 33137 33101 33128 33130 33125 33149 33144 33142 33138 33133 33135 33136 33126 33139 33127 33129 33131 33132 33145 33150 33134 33222 33231 33233 33238 33255 33299","1840015149"
"Houston","Houston","TX","Texas","48201","Harris","29.7860","-95.3885","6227666","1403.0","shape","FALSE","TRUE","America/Chicago","1","77026 77043 77204 77547 77071 77010 77021 77030 77042 77062 77086 77346 77085 77036 77079 77012 77055 77074 77064 77041 77033 77029 77035 77004 77020 77450 77089 77077 77094 77063 77345 77088 77006 77025 77060 77037 77073 77018 77506 77054 77069 77489 77504 77598 77017 77065 77002 77005 77007 77009 77048 77046 77047 77051 77053 77056 77057 77011 77015 77016 77058 77059 77061 77067 77019 77022 77023 77070 77024 77075 77076 77080 77081 77027 77028 77031 77082 77032 77034 77084 77090 77091 77093 77044 77098 77099 77336 77339 77396 77407 77008 77096 77083 77571 77038 77045 77087 77338 77066 77072 77449 77092 77003 77013 77040 77068 77078 77001 77052 77202 77203 77205 77206 77207 77208 77210 77213 77215 77217 77218 77219 77220 77221 77222 77223 77225 77226 77227 77228 77229 77230 77231 77233 77234 77235 77236 77237 77241 77242 77243 77244 77245 77248 77249 77251 77252 77253 77254 77255 77256 77257 77259 77261 77262 77263 77266 77269 77270 77271 77272 77273 77274 77275 77282 77284 77287 77288 77289 77291 77292 77293 77325 77411 77212 77216 77297 77299 77201 77315","1840020925"
"Dallas","Dallas","TX","Texas","48113","Dallas","32.7935","-96.7667","5968322","1486.7","shape","FALSE","TRUE","America/Chicago","1","75225 75224 75251 75270 75287 75234 75248 75019 75217 75249 75210 75215 75209 75247 75220 75244 75032 75253 75207 75246 75238 75089 75051 75233 75166 75182 75201 75202 75206 75214 75219 75223 75218 75235 75229 75230 75232 75252 75236 75254 75390 75237 75098 75087 75240 75203 75226 75227 75243 75211 75212 75241 75088 75204 75043 75208 75216 75228 75231 75221 75222 75242 75250 75262 75263 75264 75266 75267 75313 75315 75336 75339 75342 75354 75355 75356 75357 75360 75367 75370 75371 75372 75374 75376 75378 75379 75380 75382 75277 75283 75284 75285 75301 75303 75312 75320 75358 75373 75389 75392 75393 75394 75395 75397 75260 75359 75398","1840019440"
"Philadelphia","Philadelphia","PA","Pennsylvania","42101","Philadelphia","40.0077","-75.1339","5782653","4540.7","shape","FALSE","TRUE","America/New_York","1","19127 19102 19112 19108 19103 19125 19150 19137 19154 19109 19116 19118 19123 19132 19144 19134 19145 19120 19136 19121 19149 19133 19153 19146 19151 19104 19142 19106 19107 19111 19114 19115 19119 19122 19124 19126 19128 19129 19135 19139 19140 19143 19147 19152 19131 19141 19130 19148 19138 19101 19105 19110 19155 19160 19176 19092 19093 19161 19162 19170 19171 19172 19173 19175 19177 19178 19179 19181 19182 19183 19184 19185 19187 19188 19190 19191 19192 19193 19194 19195 19196 19197 19244 19255 19019","1840000673"
"Atlanta","Atlanta","GA","Georgia","13121","Fulton","33.7628","-84.4220","5298788","1441.8","shape","FALSE","TRUE","America/New_York","1","30332 30363 30334 30310 30313 30324 30309 30307 30308 30317 30322 30311 30312 30314 30315 30316 30326 30327 30331 30306 30354 30319 30318 30303 30305 30342 30301 30302 30321 30325 30333 30343 30348 30353 30355 30357 30361 30377 31106 31107 31126 31139 31141 30368 30375 30398 31193 30304 30369 30370 30371 30392 30394","1840013660"
"Washington","Washington","DC","District of Columbia","11001","District of Columbia","38.9047","-77.0163","5230370","4303.4","shape","FALSE","TRUE","America/New_York","1","20418 20535 20427 20220 20057 20059 20408 20230 20204 20591 20045 20415 20012 20542 20566 20005 20052 20240 20319 20510 20551 20250 20540 20388 20422 20530 20036 20373 20431 20016 20032 20019 20020 20006 20317 20024 20515 20015 20011 20001 20002 20003 20008 20009 20010 20064 20245 20390 20520 20560 20565 20017 20007 20004 20018 20037 20260 20013 20026 20027 20029 20030 20033 20035 20038 20039 20040 20043 20044 20056 20090 20091 20042 20047 20049 20053 20055 20058 20060 20061 20062 20063 20065 20066 20067 20068 20069 20070 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20201 20202 20203 20206 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20221 20222 20223 20224 20226 20227 20228 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20375 20380 20389 20392 20393 20394 20395 20401 20402 20403 20404 20405 20406 20407 20410 20411 20412 20413 20414 20416 20417 20419 20420 20421 20423 20424 20425 20426 20428 20429 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20501 20502 20503 20504 20505 20506 20507 20508 20509 20511 20522 20523 20524 20525 20526 20527 20528 20529 20531 20533 20534 20536 20537 20538 20539 20541 20543 20544 20546 20547 20548 20549 20552 20553 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20590 20593 20594 20597 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56964 56965 56966 56967 56968 56969 56970 56971 56972 56973 56980 56981 56982 56983 56984 56985 56998 56999 88888 20521 20022 20050 20374 20376 20391 20398 20500","1840006060"
"Boston","Boston","MA","Massachusetts","25025","Suffolk","42.3188","-71.0852","4453352","5322.9","shape","FALSE","TRUE","America/New_York","1","02203 02129 02210 02199 02113 02163 02205 02133 02108 02124 02120 02118 02215 02125 02127 02114 02121 02111 02109 02110 02116 02122 02126 02130 02131 02135 02136 02115 02128 02132 02119 02467 02134 02112 02117 02123 02137 02196 02222 02283 02284 02298 02201 02206 02211 02212 02217 02241 02293 02297","1840000455"
